RowID,Country/Region,ID,"Wednesday, 22 January 2020","Thursday, 23 January 2020","Friday, 24 January 2020","Saturday, 25 January 2020","Sunday, 26 January 2020","Monday, 27 January 2020","Tuesday, 28 January 2020","Wednesday, 29 January 2020","Thursday, 30 January 2020","Friday, 31 January 2020","Saturday, 1 February 2020","Sunday, 2 February 2020","Monday, 3 February 2020","Tuesday, 4 February 2020","Wednesday, 5 February 2020","Thursday, 6 February 2020","Friday, 7 February 2020","Saturday, 8 February 2020","Sunday, 9 February 2020","Monday, 10 February 2020","Tuesday, 11 February 2020","Wednesday, 12 February 2020","Thursday, 13 February 2020","Friday, 14 February 2020","Saturday, 15 February 2020","Sunday, 16 February 2020","Monday, 17 February 2020","Tuesday, 18 February 2020","Wednesday, 19 February 2020","Thursday, 20 February 2020","Friday, 21 February 2020","Saturday, 22 February 2020","Sunday, 23 February 2020","Monday, 24 February 2020","Tuesday, 25 February 2020","Wednesday, 26 February 2020","Thursday, 27 February 2020","Friday, 28 February 2020","Saturday, 29 February 2020","Sunday, 1 March 2020","Monday, 2 March 2020","Tuesday, 3 March 2020","Wednesday, 4 March 2020","Thursday, 5 March 2020","Friday, 6 March 2020","Saturday, 7 March 2020","Sunday, 8 March 2020","Monday, 9 March 2020","Tuesday, 10 March 2020","Wednesday, 11 March 2020","Thursday, 12 March 2020","Friday, 13 March 2020","Saturday, 14 March 2020","Sunday, 15 March 2020","Monday, 16 March 2020","Tuesday, 17 March 2020"
1,Thailand,TH,2,3,5,7,8,8,14,14,14,19,19,19,19,25,25,25,25,32,32,32,33,33,33,33,33,34,35,35,35,35,35,35,35,35,37,40,40,41,42,42,43,43,43,47,48,50,50,50,53,59,70,75,82,114,147,177
2,Japan,JP,2,1,2,2,4,4,7,7,11,15,20,20,20,22,22,45,25,25,26,26,26,28,28,29,43,59,66,74,84,94,105,122,147,159,170,189,214,228,241,256,274,293,331,360,420,461,502,511,581,639,639,701,773,839,825,878
3,Singapore,SG,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,33,40,45,47,50,58,67,72,75,77,81,84,84,85,85,89,89,91,93,93,93,102,106,108,110,110,117,130,138,150,150,160,178,178,200,212,226,243,266
4,Nepal,NP,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Malaysia,MY,0,0,0,3,4,4,4,7,8,8,8,8,8,10,12,12,12,16,16,18,18,18,19,19,22,22,22,22,22,22,22,22,22,22,22,22,23,23,25,29,29,36,50,50,83,93,99,117,129,149,149,197,238,428,566,673
6,Canada,CA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,9,12,13,21,21,27,32,32,39,46,64,64,73,103,103
7,Australia,AU,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,13,22,22,26,28,38,48,55,65,65,92,112,134,171,210
8,Australia,AU,0,0,0,0,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,9,9,10,10,10,11,11,15,18,21,21,36,49,57,71,94
9,Australia,AU,0,0,0,0,0,0,0,1,3,2,3,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,11,11,13,13,13,15,15,18,20,20,35,46,61,68,78
10,Cambodia,KH,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,7,7,7,33
