Canton,FDP,CVP,SP,SVP,LPS,EVP,CSP,GLP,BDP,PdA,GPS,FGA,Sol.,SD,EDU,Lega,MCR,Others,
PartyColor,#063cff,#ff8800,#ff0200,#019a2e,#999999,#999999,#999999,#bfef03,#ffdc05,#999999,#2be901,#999999,#999999,#999999,#999999,#999999,#999999,#999999,
Zürich,13.7,4.4,17.3,26.7,0.0,3.3,0.0,14.0,1.6,0.3,14.1,1.6,0.0,0.2,1.6,0.0,0.0,1.2,
Bern,8.4,1.9,16.8,30.0,0.0,4.2,0.0,9.7,8.0,0.6,13.6,0.0,0.0,0.4,2.5,0.0,0.0,3.9,
Lucerne,15.6,25.5,13.5,24.7,0.0,0.7,0.0,7.1,0.0,0.0,12.2,0.0,0.0,0.1,0.0,0.0,0.0,0.5,
Uri,0.0,39.2,22.3,36.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,
Schwyz,23.1,18.4,13.8,36.9,0.0,0.6,0.0,4.6,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Obwalden,11.6,36.7,2.9,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,
Nidwalden,0.0,35.8,0.0,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Glarus,0.0,0.0,28.2,0.0,0.0,0.0,0.0,0.0,63.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
Zug,14.7,23.8,9.3,26.6,0.0,0.8,0.0,5.5,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fribourg,15.4,17.8,21.2,20.2,0.0,0.7,3.3,5.4,0.7,0.0,12.5,0.0,0.0,0.0,0.7,0.0,0.0,2.1,
Solothurn,18.5,14.2,18.4,25.9,0.0,1.2,0.0,6.8,2.0,0.0,11.4,0.0,0.0,0.6,0.0,0.0,0.0,0.9,
Basel-Stadt,6.0,4.6,32.7,12.4,15.3,2.0,0.0,5.7,0.4,0.0,17.7,0.0,0.0,0.0,0.3,0.0,0.0,3.0,
Basel-Landschaft,16.5,8.5,21.8,25.1,0.0,3.5,0.0,5.3,1.2,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,
Schaffhausen,11.0,2.1,26.2,39.5,0.0,1.9,0.0,5.9,0.0,0.0,6.8,3.2,0.0,0.0,3.4,0.0,0.0,0.0,
Appenzell Ausserrhoden,48.4,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,
Appenzell Innerrhoden,0.0,61.3,8.7,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,
Sankt Gallen,15.0,18.8,12.7,31.3,0.0,1.6,0.0,7.3,0.6,0.0,10.5,0.0,0.0,0.3,0.9,0.0,0.0,1.0,
Graubünden,13.6,16.3,17.1,29.9,0.0,0.0,0.0,8.3,9.1,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aargau,13.6,9.9,16.5,31.5,0.0,3.6,0.0,8.5,3.1,0.0,9.8,0.0,0.0,0.0,1.0,0.0,0.0,2.6,
Thurgau,11.5,12.7,12.6,36.7,0.0,2.7,0.0,8.1,2.3,0.0,10.6,0.0,0.0,0.0,2.8,0.0,0.0,0.0,
Ticino,20.5,18.2,14.1,11.7,0.0,0.0,0.0,1.0,0.0,0.8,12.1,0.0,0.0,0.0,1.1,16.9,0.0,3.6,
Vaud,23.3,2.4,20.4,17.4,0.0,1.3,0.0,8.4,0.4,1.9,19.7,0.0,2.2,0.1,0.3,0.0,0.0,2.3,
Valais,16.5,34.8,15.1,19.8,0.0,0.0,1.0,0.8,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5,
Neuchâtel,22.3,4.2,16.6,12.7,0.0,0.0,0.0,9.1,0.0,12.1,20.8,0.0,2.1,0.0,0.0,0.0,0.0,0.2,
Genève,17.9,7.7,14.7,13.7,0.0,0.7,0.0,5.4,0.4,1.2,24.6,0.0,6.3,0.0,0.1,0.0,5.4,2.0,
Jura,9.1,22.8,27.0,14.5,0.0,1.4,9.6,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
